Date,Actual_Next_Close,ARIMA_Pred,Hybrid_RF_Residual_Pred,Residual_Pred_By_RF
2022-07-25,258.859985,268.3954212886924,276.6987576823902,8.303336393697794
2022-07-26,274.820007,259.75950584896884,260.3743336784192,0.6148278294503722
2022-07-27,280.899994,275.0936996525761,275.7038310771455,0.6101314245693986
2022-07-28,297.149994,280.74183636397333,280.0905234008573,-0.6513129631160469
2022-07-29,297.276672,295.97937212349046,297.6460677592661,1.6666956357756169
2022-08-01,300.58667,297.4597459482276,297.37332278531505,-0.0864231629125525
2022-08-02,307.396667,300.8104521845951,303.2025032409834,2.392051056388302
2022-08-03,308.633331,308.05517183855954,313.9183620273573,5.863190188797786
2022-08-04,288.170013,309.08472902794426,315.9582710316531,6.873542003708876
2022-08-05,290.42334,288.5925863498145,290.251687413814,1.6591010639995238
2022-08-08,283.333344,290.653111404828,292.76034659914103,2.107235194313022
2022-08-09,294.356659,284.1348352170678,285.6552705545947,1.5204353375268909
2022-08-10,286.630005,293.27457720889817,293.5247787474102,0.25020153851204363
2022-08-11,300.029999,286.72423977941594,290.44721903840144,3.722979258985491
2022-08-12,309.320007,298.97879108307285,299.90975872665206,0.9309676435792301
2022-08-15,306.563324,309.70711384495604,311.57320302373364,1.8660891787775862
2022-08-16,303.996674,306.2477203143026,306.9435127154692,0.695792401166542
2022-08-17,302.869995,304.1761795520637,307.31575994957154,3.1395803975078924
2022-08-18,296.666656,303.52509468288986,310.89212101888796,7.367026335998125
2022-08-19,289.91333,296.9207916530999,305.2310191957392,8.310227542639261
2022-08-22,296.453339,289.9392231140358,303.29610955384754,13.356886439811719
2022-08-23,297.09668,296.3366180168148,302.93639168124184,6.59977366442705
2022-08-24,296.070007,297.06723668910723,309.3091134381139,12.241876749006703
2022-08-25,288.089996,295.61254666772663,299.02074614830195,3.408199480575326
2022-08-26,284.820007,288.4273175249053,291.9113441109847,3.484026586079413
2022-08-29,277.700012,284.99518982961445,298.2475756173906,13.252385787776204
2022-08-30,275.609985,278.0408164744581,278.840338163245,0.7995216887868838
2022-08-31,277.160004,275.3902295582693,284.18405514894965,8.793825590680346
2022-09-01,270.209991,277.0882035841252,275.26092726700455,-1.827276317120665
2022-09-02,274.420013,270.1387805808405,277.7253676515199,7.586587070679382
2022-09-06,283.700012,274.04880051136814,269.95182474648016,-4.096975764887977
2022-09-07,289.26001,283.71581041218514,286.4958725844915,2.780062172306383
2022-09-08,299.679993,288.853301677263,293.4519450117916,4.598643334528645
2022-09-09,304.420013,299.33817359703403,304.4980116632454,5.159838066211353
2022-09-12,292.130005,304.66153123879093,319.9868264490809,15.325295210289987
2022-09-13,302.609985,292.4009627917364,300.6526515573548,8.251688765618356
2022-09-14,303.75,302.54615543526256,305.35033680538317,2.804181370120584
2022-09-15,303.350006,304.3713040684187,309.33220948082607,4.960905412407377
2022-09-16,309.070007,302.77574854397585,308.16831005627387,5.392561512297997
2022-09-19,308.730011,309.07665871996437,313.00761917470203,3.9309604547376513
2022-09-20,300.799988,308.9553645679086,323.5901586727009,14.634794104792336
2022-09-21,288.589996,300.8686648682589,308.92890308314384,8.060238214884905
2022-09-22,275.329987,288.9820728960958,291.44151518442936,2.4594422883335385
2022-09-23,276.01001,275.6714540252684,279.68087059503836,4.009416569769942
2022-09-26,282.940002,275.92652748438536,281.0978909910002,5.171363506614836
2022-09-27,287.809998,282.7565985853192,281.70897318431895,-1.0476254010002206
2022-09-28,268.209991,287.3185976983332,285.069323615199,-2.249274083134199
